"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1996"	"1996"	19	99073	19.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1997"	"1997"	22	100897	21.8
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1998"	"1998"	14	103530	13.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1979"	"1979"	361	1382355	26.1
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1980"	"1980"	431	1426994	30.2
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1981"	"1981"	401	1433262	28.0
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1982"	"1982"	367	1453240	25.3
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1983"	"1983"	354	1432650	24.7
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1984"	"1984"	349	1444354	24.2
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1985"	"1985"	359	1477571	24.3
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1986"	"1986"	365	1470406	24.8
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1987"	"1987"	374	1482248	25.2
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1988"	"1988"	378	1511022	25.0
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1989"	"1989"	380	1554761	24.4
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1990"	"1990"	363	1602185	22.7
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1991"	"1991"	374	1582196	23.6
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1992"	"1992"	306	1559867	19.6
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1993"	"1993"	363	1533501	23.7
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1994"	"1994"	331	1521401	21.8
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1995"	"1995"	323	1510458	21.4
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1996"	"1996"	362	1508634	24.0
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1997"	"1997"	311	1499018	20.7
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1998"	"1998"	311	1522023	20.4
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1979"	"1979"	217	282869	76.7
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1980"	"1980"	245	287996	85.1
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	189	286154	66.0
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	231	288816	80.0
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	216	285115	75.8
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	194	288331	67.3
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1985"	"1985"	178	295100	60.3
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1986"	"1986"	225	301468	74.6
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1987"	"1987"	216	309866	69.7
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1988"	"1988"	232	324495	71.5
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1989"	"1989"	264	341716	77.3
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1990"	"1990"	241	347082	69.4
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1991"	"1991"	257	346455	74.2
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1992"	"1992"	201	342726	58.6
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1993"	"1993"	240	333984	71.9
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1994"	"1994"	227	322554	70.4
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1995"	"1995"	189	306115	61.7
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	195	301474	64.7
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1997"	"1997"	188	304530	61.7
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	194	310107	62.6
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1979"	"1979"	17	47886	35.5 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1980"	"1980"	21	55263	38.0
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1981"	"1981"	23	59701	38.5
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1982"	"1982"	29	65283	44.4
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1983"	"1983"	16	66620	24.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1984"	"1984"	19	68413	27.8 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1985"	"1985"	25	72541	34.5
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1986"	"1986"	25	74631	33.5
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1987"	"1987"	23	79707	28.9
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1988"	"1988"	15	86868	17.3 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1989"	"1989"	36	90180	39.9
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1990"	"1990"	27	94325	28.6
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1991"	"1991"	35	95986	36.5
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1992"	"1992"	29	97560	29.7
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1993"	"1993"	31	98545	31.5
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1994"	"1994"	32	100432	31.9
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1995"	"1995"	18	101813	17.7 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1996"	"1996"	27	104583	25.8
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1997"	"1997"	30	107444	27.9
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1998"	"1998"	23	109394	21.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1979"	"1979"	520	1460512	35.6
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1980"	"1980"	551	1509357	36.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1981"	"1981"	472	1514417	31.2
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1982"	"1982"	524	1531577	34.2
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1983"	"1983"	437	1513818	28.9
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1984"	"1984"	406	1522746	26.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1985"	"1985"	414	1560342	26.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1986"	"1986"	424	1548769	27.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1987"	"1987"	472	1561580	30.2
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1988"	"1988"	462	1591061	29.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1989"	"1989"	437	1637594	26.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1990"	"1990"	449	1688088	26.6
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1991"	"1991"	498	1659077	30.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1992"	"1992"	438	1641811	26.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1993"	"1993"	464	1616332	28.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1994"	"1994"	449	1599603	28.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1995"	"1995"	418	1588427	26.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1996"	"1996"	423	1584423	26.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1997"	"1997"	431	1573622	27.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1998"	"1998"	441	1596704	27.6
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1979"	"1979"	401	936000	42.8
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1980"	"1980"	376	950534	39.6
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	362	993390	36.4
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1982"	"1982"	351	1013841	34.6
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1983"	"1983"	355	1036597	34.2
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1984"	"1984"	329	1046926	31.4
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1985"	"1985"	316	1044776	30.2
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1986"	"1986"	359	1052662	34.1
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	346	1061442	32.6
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1988"	"1988"	346	1078660	32.1
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	324	1109504	29.2
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	327	1137412	28.7
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1991"	"1991"	367	1204325	30.5
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1992"	"1992"	351	1249382	28.1
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1993"	"1993"	378	1283075	29.5
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	354	1296190	27.3
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	297	1293510	23.0
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1996"	"1996"	320	1278912	25.0
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1997"	"1997"	259	1252513	20.7
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1998"	"1998"	272	1234180	22.0
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1979"	"1979"	46	160000	28.8
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1980"	"1980"	44	181334	24.3
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1981"	"1981"	35	206761	16.9
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1982"	"1982"	54	225768	23.9
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1983"	"1983"	39	243861	16.0
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1984"	"1984"	55	261620	21.0
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1985"	"1985"	50	274621	18.2
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1986"	"1986"	45	286979	15.7
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1987"	"1987"	43	297645	14.4
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1988"	"1988"	53	306394	17.3
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1989"	"1989"	70	319642	21.9
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1990"	"1990"	45	331857	13.6
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1991"	"1991"	45	344089	13.1
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1992"	"1992"	48	362447	13.2
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1993"	"1993"	59	378157	15.6
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1994"	"1994"	54	390161	13.8
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1995"	"1995"	54	399589	13.5
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1996"	"1996"	60	405496	14.8
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1997"	"1997"	65	411556	15.8
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1998"	"1998"	37	420373	8.8
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1979"	"1979"	1100	5078000	21.7
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1980"	"1980"	1075	5127023	21.0
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1981"	"1981"	1031	5290734	19.5
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1982"	"1982"	1023	5398933	18.9
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1983"	"1983"	966	5511605	17.5
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1984"	"1984"	890	5591741	15.9
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1985"	"1985"	925	5598882	16.5
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1986"	"1986"	965	5626960	17.1
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1987"	"1987"	938	5648110	16.6
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1988"	"1988"	924	5666103	16.3
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1989"	"1989"	906	5724368	15.8
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1990"	"1990"	801	5761780	13.9
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1991"	"1991"	905	5875294	15.4
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1992"	"1992"	759	5983543	12.7
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1993"	"1993"	815	6072481	13.4
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1994"	"1994"	825	6096502	13.5
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1995"	"1995"	791	6038803	13.1
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1996"	"1996"	711	5963489	11.9
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1997"	"1997"	676	5893585	11.5
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1998"	"1998"	663	5858932	11.3
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1979"	"1979"	522	951000	54.9
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1980"	"1980"	514	967347	53.1
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	529	1010684	52.3
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	497	1031502	48.2
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	486	1055154	46.1
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	445	1067688	41.7
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1985"	"1985"	444	1067196	41.6
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1986"	"1986"	473	1075699	44.0
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1987"	"1987"	469	1085901	43.2
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1988"	"1988"	495	1103169	44.9
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1989"	"1989"	475	1134914	41.9
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1990"	"1990"	449	1163852	38.6
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1991"	"1991"	469	1233019	38.0
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1992"	"1992"	423	1280001	33.0
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1993"	"1993"	516	1316241	39.2
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1994"	"1994"	505	1331603	37.9
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1995"	"1995"	428	1330374	32.2
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	405	1315521	30.8
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1997"	"1997"	360	1288702	27.9
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	400	1270316	31.5
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1979"	"1979"	73	165000	44.2
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1980"	"1980"	63	185942	33.9
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1981"	"1981"	63	211916	29.7
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1982"	"1982"	59	230922	25.5
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1983"	"1983"	57	249495	22.8
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1984"	"1984"	78	267331	29.2
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1985"	"1985"	83	280896	29.5
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1986"	"1986"	84	294075	28.6
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1987"	"1987"	64	305903	20.9
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1988"	"1988"	72	316315	22.8
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1989"	"1989"	82	331194	24.8
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1990"	"1990"	90	345682	26.0
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1991"	"1991"	56	360353	15.5
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1992"	"1992"	72	379416	19.0
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1993"	"1993"	76	396151	19.2
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1994"	"1994"	80	408593	19.6
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1995"	"1995"	82	417446	19.6
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1996"	"1996"	65	421654	15.4
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1997"	"1997"	64	425371	15.0
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1998"	"1998"	53	431488	12.3
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1979"	"1979"	1616	5347000	30.2
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1980"	"1980"	1660	5402382	30.7
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1981"	"1981"	1554	5571794	27.9
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1982"	"1982"	1544	5683293	27.2
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1983"	"1983"	1531	5800987	26.4
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1984"	"1984"	1414	5887698	24.0
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1985"	"1985"	1457	5896609	24.7
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1986"	"1986"	1443	5926574	24.3
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1987"	"1987"	1471	5949926	24.7
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1988"	"1988"	1404	5968248	23.5
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1989"	"1989"	1366	6030010	22.7
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1990"	"1990"	1263	6071090	20.8
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1991"	"1991"	1292	6187186	20.9
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1992"	"1992"	1278	6300477	20.3
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1993"	"1993"	1249	6388979	19.5
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1994"	"1994"	1219	6416700	19.0
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1995"	"1995"	1125	6355397	17.7
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1996"	"1996"	1060	6278201	16.9
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1997"	"1997"	996	6209803	16.0
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1998"	"1998"	952	6166825	15.4
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1979"	"1979"	242	1256000	19.3
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1980"	"1980"	216	1242096	17.4
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	200	1206303	16.6
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1982"	"1982"	219	1200587	18.2
