"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Fight, brawl, rape"	"E960"	2	256575	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Assault by hanging and strangulation"	"E963"	6	256575	2.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Assault by firearms and explosives"	"E965"	2	256575	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Assault by pushing from high place"	"E967"	2	256575	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Assault by other and unspecified means"	"E968"	20	256575	7.8
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"			32	256575	12.5
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Assault by hanging and strangulation"	"E963"	1	246775	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Assault by submersion (drowning)"	"E964"	1	246775	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Assault by firearms and explosives"	"E965"	1	246775	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Assault by cutting and piercing instruments"	"E966"	2	246775	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Assault by other and unspecified means"	"E968"	27	246775	10.9
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"			32	246775	13.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by hanging and strangulation"	"E963"	2	243435	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by submersion (drowning)"	"E964"	3	243435	1.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by firearms and explosives"	"E965"	3	243435	1.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by cutting and piercing instruments"	"E966"	1	243435	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by pushing from high place"	"E967"	1	243435	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by other and unspecified means"	"E968"	29	243435	11.9
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"			39	243435	16.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Assault by hanging and strangulation"	"E963"	2	244882	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Assault by submersion (drowning)"	"E964"	1	244882	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Assault by firearms and explosives"	"E965"	3	244882	1.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Assault by cutting and piercing instruments"	"E966"	1	244882	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Assault by other and unspecified means"	"E968"	24	244882	9.8
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"			31	244882	12.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Assault by hanging and strangulation"	"E963"	2	245968	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Assault by submersion (drowning)"	"E964"	2	245968	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Assault by firearms and explosives"	"E965"	2	245968	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Assault by cutting and piercing instruments"	"E966"	2	245968	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Assault by pushing from high place"	"E967"	2	245968	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Assault by other and unspecified means"	"E968"	20	245968	8.1
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Late effect of injury purposely inflicted by other person"	"E969"	1	245968	0.4 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"			31	245968	12.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by hanging and strangulation"	"E963"	2	259836	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by submersion (drowning)"	"E964"	1	259836	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by firearms and explosives"	"E965"	3	259836	1.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by cutting and piercing instruments"	"E966"	2	259836	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by pushing from high place"	"E967"	1	259836	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by other and unspecified means"	"E968"	17	259836	6.5 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"			26	259836	10.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1978"	"1978"	"Assault by hanging and strangulation"	"E963"	5	262807	1.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1978"	"1978"	"Assault by submersion (drowning)"	"E964"	1	262807	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1978"	"1978"	"Assault by firearms and explosives"	"E965"	2	262807	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1978"	"1978"	"Assault by pushing from high place"	"E967"	1	262807	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1978"	"1978"	"Assault by other and unspecified means"	"E968"	23	262807	8.8
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1978"	"1978"			32	262807	12.2
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"					317	2832334	11.2
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1968"	"1968"	"Assault by other and unspecified means"	"E968"	1	25334	3.9 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1968"	"1968"			1	25334	3.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1969"	"1969"	"Assault by other and unspecified means"	"E968"	1	27064	3.7 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1969"	"1969"			1	27064	3.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1970"	"1970"	"Assault by hanging and strangulation"	"E963"	1	29030	3.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1970"	"1970"	"Assault by cutting and piercing instruments"	"E966"	1	29030	3.4 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1970"	"1970"			2	29030	6.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1972"	"1972"	"Assault by other and unspecified means"	"E968"	4	30998	12.9 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1972"	"1972"			4	30998	12.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1973"	"1973"	"Assault by other and unspecified means"	"E968"	1	31705	3.2 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1973"	"1973"			1	31705	3.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1974"	"1974"	"Assault by cutting and piercing instruments"	"E966"	1	32639	3.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1974"	"1974"	"Assault by other and unspecified means"	"E968"	3	32639	9.2 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1974"	"1974"			4	32639	12.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1975"	"1975"	"Assault by other and unspecified means"	"E968"	1	34383	2.9 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1975"	"1975"			1	34383	2.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1976"	"1976"	"Assault by other and unspecified means"	"E968"	2	36464	5.5 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1976"	"1976"			2	36464	5.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1977"	"1977"	"Assault by hanging and strangulation"	"E963"	2	38977	5.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1977"	"1977"	"Assault by other and unspecified means"	"E968"	1	38977	2.6 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1977"	"1977"			3	38977	7.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1978"	"1978"	"Assault by other and unspecified means"	"E968"	1	42543	2.4 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1978"	"1978"			1	42543	2.4 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"					20	359711	5.6
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1968"	"1968"	"Assault by hanging and strangulation"	"E963"	7	1421634	0.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1968"	"1968"	"Assault by submersion (drowning)"	"E964"	1	1421634	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1968"	"1968"	"Assault by firearms and explosives"	"E965"	2	1421634	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1968"	"1968"	"Assault by cutting and piercing instruments"	"E966"	2	1421634	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1968"	"1968"	"Assault by pushing from high place"	"E967"	1	1421634	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1968"	"1968"	"Assault by other and unspecified means"	"E968"	45	1421634	3.2
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1968"	"1968"			58	1421634	4.1
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1969"	"1969"	"Assault by hanging and strangulation"	"E963"	6	1462384	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1969"	"1969"	"Assault by submersion (drowning)"	"E964"	2	1462384	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1969"	"1969"	"Assault by firearms and explosives"	"E965"	3	1462384	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1969"	"1969"	"Assault by cutting and piercing instruments"	"E966"	2	1462384	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1969"	"1969"	"Assault by other and unspecified means"	"E968"	37	1462384	2.5
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1969"	"1969"			50	1462384	3.4
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1970"	"1970"	"Assault by hanging and strangulation"	"E963"	8	1510276	0.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1970"	"1970"	"Assault by submersion (drowning)"	"E964"	3	1510276	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1970"	"1970"	"Assault by firearms and explosives"	"E965"	2	1510276	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1970"	"1970"	"Assault by other and unspecified means"	"E968"	29	1510276	1.9
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1970"	"1970"			42	1510276	2.8
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1971"	"1971"	"Fight, brawl, rape"	"E960"	1	1429588	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1971"	"1971"	"Assault by hanging and strangulation"	"E963"	7	1429588	0.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1971"	"1971"	"Assault by firearms and explosives"	"E965"	3	1429588	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1971"	"1971"	"Assault by cutting and piercing instruments"	"E966"	4	1429588	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1971"	"1971"	"Assault by pushing from high place"	"E967"	1	1429588	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1971"	"1971"	"Assault by other and unspecified means"	"E968"	47	1429588	3.3
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1971"	"1971"			63	1429588	4.4
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1972"	"1972"	"Assault by hanging and strangulation"	"E963"	8	1300911	0.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1972"	"1972"	"Assault by submersion (drowning)"	"E964"	4	1300911	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1972"	"1972"	"Assault by firearms and explosives"	"E965"	4	1300911	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1972"	"1972"	"Assault by cutting and piercing instruments"	"E966"	4	1300911	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1972"	"1972"	"Assault by other and unspecified means"	"E968"	24	1300911	1.8
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1972"	"1972"			44	1300911	3.4
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1973"	"1973"	"Assault by hanging and strangulation"	"E963"	7	1250159	0.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1973"	"1973"	"Assault by submersion (drowning)"	"E964"	1	1250159	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1973"	"1973"	"Assault by firearms and explosives"	"E965"	3	1250159	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1973"	"1973"	"Assault by cutting and piercing instruments"	"E966"	2	1250159	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1973"	"1973"	"Assault by other and unspecified means"	"E968"	33	1250159	2.6
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1973"	"1973"			46	1250159	3.7
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1974"	"1974"	"Assault by poisoning"	"E962"	1	1261770	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1974"	"1974"	"Assault by hanging and strangulation"	"E963"	7	1261770	0.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1974"	"1974"	"Assault by submersion (drowning)"	"E964"	2	1261770	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1974"	"1974"	"Assault by firearms and explosives"	"E965"	1	1261770	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1974"	"1974"	"Assault by cutting and piercing instruments"	"E966"	2	1261770	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1974"	"1974"	"Assault by other and unspecified means"	"E968"	32	1261770	2.5
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1974"	"1974"			45	1261770	3.6
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Fight, brawl, rape"	"E960"	1	1251798	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by hanging and strangulation"	"E963"	2	1251798	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by submersion (drowning)"	"E964"	1	1251798	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by firearms and explosives"	"E965"	1	1251798	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by cutting and piercing instruments"	"E966"	2	1251798	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by other and unspecified means"	"E968"	37	1251798	3.0
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"			44	1251798	3.5
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by poisoning"	"E962"	1	1260920	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by hanging and strangulation"	"E963"	5	1260920	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by submersion (drowning)"	"E964"	2	1260920	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by firearms and explosives"	"E965"	2	1260920	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by cutting and piercing instruments"	"E966"	1	1260920	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by other and unspecified means"	"E968"	38	1260920	3.0
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"			49	1260920	3.9
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by poisoning"	"E962"	2	1321903	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by hanging and strangulation"	"E963"	5	1321903	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by submersion (drowning)"	"E964"	3	1321903	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by firearms and explosives"	"E965"	2	1321903	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by cutting and piercing instruments"	"E966"	3	1321903	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by other and unspecified means"	"E968"	37	1321903	2.8
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"			52	1321903	3.9
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Fight, brawl, rape"	"E960"	1	1318535	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by poisoning"	"E962"	2	1318535	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by hanging and strangulation"	"E963"	4	1318535	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by submersion (drowning)"	"E964"	1	1318535	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by firearms and explosives"	"E965"	2	1318535	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by other and unspecified means"	"E968"	36	1318535	2.7
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"			46	1318535	3.5
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"					539	14789878	3.6
"Total"	"< 1 year"	"1"	"Female"	"F"							876	17981923	4.9
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	"Fight, brawl, rape"	"E960"	1	265110	0.4 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	"Assault by hanging and strangulation"	"E963"	2	265110	0.8 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	"Assault by other and unspecified means"	"E968"	19	265110	7.2 (Unreliable)
"Total"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"			22	265110	8.3
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	"Assault by hanging and strangulation"	"E963"	2	270036	0.7 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	"Assault by firearms and explosives"	"E965"	2	270036	0.7 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	"Assault by other and unspecified means"	"E968"	30	270036	11.1
"Total"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"			34	270036	12.6
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by poisoning"	"E962"	1	285290	0.4 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by hanging and strangulation"	"E963"	4	285290	1.4 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by firearms and explosives"	"E965"	3	285290	1.1 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by cutting and piercing instruments"	"E966"	1	285290	0.4 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by pushing from high place"	"E967"	1	285290	0.4 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by other and unspecified means"	"E968"	25	285290	8.8
"Total"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"			35	285290	12.3
