"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Other Race"	"2131-1"	"By unspecified person"	"E967.9"	1	52564	1.9 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Other Race"	"2131-1"			1	52564	1.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	4	1426994	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Handgun"	"E965.0"	1	1426994	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	2	1426994	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	1	1426994	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"By parent"	"E967.0"	4	1426994	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"By other specified person"	"E967.1"	1	1426994	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"By unspecified person"	"E967.9"	24	1426994	1.7
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Fire"	"E968.0"	2	1426994	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	6	1426994	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Other specified means"	"E968.8"	2	1426994	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"	"Unspecified means"	"E968.9"	14	1426994	1.0 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"White"	"2106-3"			61	1426994	4.3
"Total"	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"					96	1759642	5.5
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	1	278801	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	3	278801	1.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	4	278801	1.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"By parent"	"E967.0"	1	278801	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	12	278801	4.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	2	278801	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Hot liquid"	"E968.3"	1	278801	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Criminal neglect"	"E968.4"	2	278801	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	3	278801	1.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	8	278801	2.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"	"Late effects of injury purposely inflicted by other person"	"E969"	1	278801	0.4 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Black or African American"	"2054-5"			38	278801	13.6
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Other Race"	"2131-1"	"Assault by hanging and strangulation"	"E963"	1	56903	1.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Other Race"	"2131-1"	"By parent"	"E967.0"	1	56903	1.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Other Race"	"2131-1"	"By unspecified person"	"E967.9"	3	56903	5.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	1	56903	1.8 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"Other Race"	"2131-1"			6	56903	10.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	5	1433262	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	3	1433262	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Handgun"	"E965.0"	1	1433262	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Shotgun"	"E965.1"	1	1433262	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	2	1433262	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	1	1433262	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"By parent"	"E967.0"	3	1433262	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"By unspecified person"	"E967.9"	23	1433262	1.6
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Fire"	"E968.0"	5	1433262	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	1	1433262	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	5	1433262	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Other specified means"	"E968.8"	2	1433262	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"	"Unspecified means"	"E968.9"	16	1433262	1.1 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"	"White"	"2106-3"			68	1433262	4.7
"Total"	"< 1 year"	"1"	"Female"	"F"	"1981"	"1981"					112	1768966	6.3
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Unarmed fight or brawl"	"E960.0"	1	279690	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	5	279690	1.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	1	279690	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Handgun"	"E965.0"	1	279690	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"By parent"	"E967.0"	1	279690	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	13	279690	4.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	1	279690	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	1	279690	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Criminal neglect"	"E968.4"	3	279690	1.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	2	279690	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	10	279690	3.6 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Black or African American"	"2054-5"			39	279690	13.9
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Other Race"	"2131-1"	"By unspecified person"	"E967.9"	3	61931	4.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Other Race"	"2131-1"	"Other specified means"	"E968.8"	1	61931	1.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	1	61931	1.6 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"Other Race"	"2131-1"			5	61931	8.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	7	1453240	0.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	2	1453240	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	3	1453240	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	2	1453240	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"By parent"	"E967.0"	2	1453240	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"By unspecified person"	"E967.9"	21	1453240	1.4
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Fire"	"E968.0"	3	1453240	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	2	1453240	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Hot liquid"	"E968.3"	1	1453240	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	6	1453240	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Other specified means"	"E968.8"	1	1453240	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"	"Unspecified means"	"E968.9"	10	1453240	0.7 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"	"White"	"2106-3"			60	1453240	4.1
"Total"	"< 1 year"	"1"	"Female"	"F"	"1982"	"1982"					104	1794861	5.8
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	4	277509	1.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	1	277509	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"By parent"	"E967.0"	2	277509	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	12	277509	4.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"Pushing from a high place"	"E968.1"	1	277509	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"Hot liquid"	"E968.3"	1	277509	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"Criminal neglect"	"E968.4"	3	277509	1.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	6	277509	2.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	12	277509	4.3 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Black or African American"	"2054-5"			42	277509	15.1
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Other Race"	"2131-1"	"Drugs and medicinal substances"	"E962.0"	1	63221	1.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Other Race"	"2131-1"	"Other and unspecified firearm"	"E965.4"	1	63221	1.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Other Race"	"2131-1"	"Assault by cutting and piercing instrument"	"E966"	1	63221	1.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Other Race"	"2131-1"	"By unspecified person"	"E967.9"	2	63221	3.2 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"Other Race"	"2131-1"			5	63221	7.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	7	1432650	0.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	1	1432650	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Handgun"	"E965.0"	2	1432650	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	1	1432650	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	1	1432650	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"By parent"	"E967.0"	2	1432650	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"By unspecified person"	"E967.9"	12	1432650	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Fire"	"E968.0"	1	1432650	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Hot liquid"	"E968.3"	1	1432650	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	3	1432650	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Other specified means"	"E968.8"	3	1432650	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"	"Unspecified means"	"E968.9"	20	1432650	1.4
"Total"	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"	"White"	"2106-3"			54	1432650	3.8
"Total"	"< 1 year"	"1"	"Female"	"F"	"1983"	"1983"					101	1773380	5.7
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	5	279807	1.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	2	279807	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	2	279807	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"By parent"	"E967.0"	2	279807	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"By other specified person"	"E967.1"	1	279807	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	12	279807	4.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	2	279807	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	2	279807	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Criminal neglect"	"E968.4"	3	279807	1.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	2	279807	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	12	279807	4.3 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"Black or African American"	"2054-5"			45	279807	16.1
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	8	1444354	0.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	4	1444354	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"Handgun"	"E965.0"	2	1444354	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"By parent"	"E967.0"	2	1444354	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"By other specified person"	"E967.1"	1	1444354	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"By unspecified person"	"E967.9"	12	1444354	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"Fire"	"E968.0"	1	1444354	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	1	1444354	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	2	1444354	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"Other specified means"	"E968.8"	6	1444354	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"	"Unspecified means"	"E968.9"	19	1444354	1.3 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"	"White"	"2106-3"			58	1444354	4.0
"Total"	"< 1 year"	"1"	"Female"	"F"	"1984"	"1984"					103	1789651	5.8
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	4	286724	1.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	1	286724	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	1	286724	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	1	286724	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"By parent"	"E967.0"	1	286724	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"By other specified person"	"E967.1"	1	286724	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	9	286724	3.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	1	286724	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"Pushing from a high place"	"E968.1"	1	286724	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	4	286724	1.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	5	286724	1.7 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1985"	"1985"	"Black or African American"	"2054-5"			29	286724	10.1
