"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1978"	"1978"	13	42543	30.6 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"			213	359711	59.2
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1968"	"1968"	866	1421634	60.9
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1969"	"1969"	805	1462384	55.0
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1970"	"1970"	807	1510276	53.4
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1971"	"1971"	721	1429588	50.4
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1972"	"1972"	580	1300911	44.6
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1973"	"1973"	535	1250159	42.8
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1974"	"1974"	523	1261770	41.4
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	494	1251798	39.5
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	459	1260920	36.4
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	427	1321903	32.3
	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	460	1318535	34.9
"Total"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"			6677	14789878	45.1
"Total"	"< 1 year"	"1"	"Female"	"F"					9880	17981923	54.9
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	445	265110	167.9
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	400	270036	148.1
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	433	285290	151.8
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"	410	280852	146.0
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1972"	"1972"	328	263249	124.6
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1973"	"1973"	311	253730	122.6
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1974"	"1974"	270	250570	107.8
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1975"	"1975"	259	251947	102.8
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1976"	"1976"	231	252538	91.5
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"	246	266831	92.2
	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1978"	"1978"	233	270018	86.3
"Total"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"			3566	2910171	122.5
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1968"	"1968"	27	26510	101.8
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1969"	"1969"	27	28820	93.7
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1970"	"1970"	29	30408	95.4
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1971"	"1971"	30	32078	93.5
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1972"	"1972"	14	32054	43.7 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1973"	"1973"	24	33095	72.5
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1974"	"1974"	16	35092	45.6 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	16	36168	44.2 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	24	38861	61.8
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	14	40805	34.3 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	23	44803	51.3
"Total"	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"			244	378694	64.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	1047	1504706	69.6
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	1080	1547716	69.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	935	1599680	58.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	1039	1509980	68.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	854	1374624	62.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	774	1321501	58.6
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	673	1336452	50.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1975"	"1975"	593	1325020	44.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1976"	"1976"	596	1333037	44.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1977"	"1977"	578	1398280	41.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1978"	"1978"	562	1394573	40.3
"Total"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"			8731	15645569	55.8
"Total"	"< 1 year"	"1"	"Male"	"M"					12541	18934434	66.2
"Total"	"< 1 year"	"1"							22421	36916357	60.7
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	561	1042000	53.8
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	547	1008000	54.3
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	505	970376	52.0
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	495	969000	51.1
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	462	985000	46.9
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	503	990000	50.8
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	440	981000	44.9
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	441	959000	46.0
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	408	929000	43.9
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	368	913000	40.3
	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"1978"	"1978"	439	919000	47.8
"Total"	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"			5169	10665376	48.5
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1968"	"1968"	55	99000	55.6
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1969"	"1969"	35	102000	34.3
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1970"	"1970"	41	116132	35.3
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1971"	"1971"	36	107000	33.6
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1972"	"1972"	44	115000	38.3
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1973"	"1973"	49	123000	39.8
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1974"	"1974"	48	130000	36.9
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1975"	"1975"	42	140000	30.0
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1976"	"1976"	38	145000	26.2
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1977"	"1977"	47	149000	31.5
	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	"1978"	"1978"	47	153000	30.7
"Total"	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"			482	1379132	34.9
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1968"	"1968"	1544	5999000	25.7
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1969"	"1969"	1495	5742000	26.0
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1970"	"1970"	1389	5614968	24.7
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1971"	"1971"	1405	5613000	25.0
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1972"	"1972"	1360	5657000	24.0
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1973"	"1973"	1400	5607000	25.0
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1974"	"1974"	1250	5458000	22.9
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	1176	5243000	22.4
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	1131	5040000	22.4
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	1121	4944000	22.7
	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	1107	4990000	22.2
"Total"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"			14378	59907968	24.0
"Total"	"1-4 years"	"1-4"	"Female"	"F"					20029	71952476	27.8
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	729	1048000	69.6
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	673	1014000	66.4
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	621	975063	63.7
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"	653	972000	67.2
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1972"	"1972"	620	991000	62.6
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1973"	"1973"	681	999000	68.2
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1974"	"1974"	556	992000	56.0
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1975"	"1975"	570	973000	58.6
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1976"	"1976"	521	943000	55.2
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"	531	927000	57.3
	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"1978"	"1978"	538	934000	57.6
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"			6693	10768063	62.2
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1968"	"1968"	69	101000	68.3
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1969"	"1969"	61	103000	59.2
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1970"	"1970"	58	119438	48.6
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1971"	"1971"	57	109000	52.3
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1972"	"1972"	68	116000	58.6
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1973"	"1973"	56	124000	45.2
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1974"	"1974"	45	132000	34.1
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	55	144000	38.2
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	54	149000	36.2
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	60	153000	39.2
	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	76	158000	48.1
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"			659	1408438	46.8
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	2153	6258000	34.4
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	2154	5994000	35.9
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	2119	5873083	36.1
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	2072	5873000	35.3
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	2224	5932000	37.5
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	2147	5880000	36.5
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	2008	5728000	35.1
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1975"	"1975"	1789	5510000	32.5
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1976"	"1976"	1739	5296000	32.8
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1977"	"1977"	1632	5199000	31.4
	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1978"	"1978"	1725	5255000	32.8
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"			21762	62798083	34.7
"Total"	"1-4 years"	"1-4"	"Male"	"M"					29114	74974584	38.8
"Total"	"1-4 years"	"1-4"							49143	146927060	33.4
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	352	1390000	25.3
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	334	1387000	24.1
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	352	1370073	25.7
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	314	1354000	23.2
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	310	1328000	23.3
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	299	1300000	23.0
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	268	1278000	21.0
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	235	1264000	18.6
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	241	1272000	18.9
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	238	1275000	18.7
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1978"	"1978"	233	1273000	18.3
"Total"	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"			3176	14491073	21.9
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1968"	"1968"	23	136000	16.9
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1969"	"1969"	23	138000	16.7
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1970"	"1970"	29	153345	18.9
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1971"	"1971"	16	142000	11.3 (Unreliable)
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1972"	"1972"	30	145000	20.7
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1973"	"1973"	25	148000	16.9
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1974"	"1974"	21	151000	13.9
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1975"	"1975"	24	164000	14.6
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1976"	"1976"	22	174000	12.6
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1977"	"1977"	27	184000	14.7
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1978"	"1978"	30	193000	15.5
"Total"	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"			270	1728345	15.6
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1968"	"1968"	1203	8498000	14.2
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1969"	"1969"	1104	8407000	13.1
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1970"	"1970"	1057	8264333	12.8
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1971"	"1971"	1124	8014000	14.0
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1972"	"1972"	1142	7768000	14.7
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1973"	"1973"	1039	7513000	13.8
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1974"	"1974"	837	7301000	11.5
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	840	7195000	11.7
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	822	7209000	11.4
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	865	7122000	12.1
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	821	6999000	11.7
"Total"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"			10854	84290333	12.9
"Total"	"5-9 years"	"5-9"	"Female"	"F"					14300	100509751	14.2
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	593	1389000	42.7
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	610	1389000	43.9
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	581	1377355	42.2
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"	601	1363000	44.1
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1972"	"1972"	518	1336000	38.8
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1973"	"1973"	578	1306000	44.3
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1974"	"1974"	497	1282000	38.8
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1975"	"1975"	480	1269000	37.8
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1976"	"1976"	464	1279000	36.3
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"	445	1284000	34.7
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1978"	"1978"	426	1286000	33.1
"Total"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"			5793	14560355	39.8
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1968"	"1968"	33	138000	23.9
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1969"	"1969"	44	140000	31.4
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1970"	"1970"	30	158048	19.0
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1971"	"1971"	50	145000	34.5
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1972"	"1972"	40	148000	27.0
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1973"	"1973"	40	150000	26.7
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1974"	"1974"	34	155000	21.9
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	44	166000	26.5
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	42	177000	23.7
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	46	188000	24.5
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	48	199000	24.1
"Total"	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"			451	1764048	25.6
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	2217	8863000	25.0
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	2115	8781000	24.1
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	2119	8633093	24.5
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	2047	8378000	24.4
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	1966	8122000	24.2
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	1932	7862000	24.6
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	1662	7638000	21.8
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1975"	"1975"	1593	7537000	21.1
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1976"	"1976"	1512	7561000	20.0
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1977"	"1977"	1521	7477000	20.3
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1978"	"1978"	1486	7350000	20.2
"Total"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"			20170	88202093	22.9
"Total"	"5-9 years"	"5-9"	"Male"	"M"					26414	104526496	25.3
"Total"	"5-9 years"	"5-9"							40714	205036247	19.9
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	202	1351000	15.0
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	232	1385000	16.8
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	237	1403154	16.9
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	260	1432000	18.2
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	266	1442000	18.4
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	213	1451000	14.7
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	201	1451000	13.9
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	189	1448000	13.1
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	156	1429000	10.9
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	185	1400000	13.2
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1978"	"1978"	188	1370000	13.7
"Total"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"			2329	15562154	15.0
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1968"	"1968"	18	121000	14.9 (Unreliable)
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1969"	"1969"	18	128000	14.1 (Unreliable)
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1970"	"1970"	20	148185	13.5
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1971"	"1971"	23	141000	16.3
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1972"	"1972"	20	147000	13.6
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1973"	"1973"	16	154000	10.4 (Unreliable)
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1974"	"1974"	21	161000	13.0
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1975"	"1975"	22	171000	12.9
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1976"	"1976"	31	180000	17.2
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1977"	"1977"	21	186000	11.3
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1978"	"1978"	23	192000	12.0
