"year","female","male","total","country_code"
1870,23,16,20,"bel"
1871,4,3,3,"bel"
1872,19,12,14,"bel"
1873,33,37,36,"bel"
1874,41,50,46,"bel"
1875,28,23,27,"bel"
1876,35,39,37,"bel"
1877,40,47,45,"bel"
1878,37,44,42,"bel"
1879,36,40,38,"bel"
1880,31,24,29,"bel"
1881,43,45,43,"bel"
1882,50,53,52,"bel"
1883,46,49,47,"bel"
1884,38,42,41,"bel"
1885,49,52,51,"bel"
1886,35,29,35,"bel"
1887,52,54,53,"bel"
1888,48,46,48,"bel"
1889,47,48,49,"bel"
1890,45,35,40,"bel"
1891,42,36,39,"bel"
1892,34,27,34,"bel"
1893,44,43,44,"bel"
1894,55,56,56,"bel"
1895,51,51,51,"bel"
1896,56,60,57,"bel"
1897,58,61,59,"bel"
1898,57,59,58,"bel"
1899,53,58,54,"bel"
1900,54,57,55,"bel"
1901,63,65,64,"bel"
1902,59,64,60,"bel"
1903,61,63,61,"bel"
1904,60,66,63,"bel"
1905,67,70,68,"bel"
1906,65,68,66,"bel"
1907,69,72,70,"bel"
1908,64,67,65,"bel"
1909,68,71,69,"bel"
1910,70,73,71,"bel"
1911,62,62,62,"bel"
1912,71,74,72,"bel"
1913,72,75,73,"bel"
1914,1,1,1,"bel"
1915,1,1,1,"bel"
1916,1,1,1,"bel"
1917,1,1,1,"bel"
1918,1,1,1,"bel"
1919,66,69,67,"bel"
1920,73,76,74,"bel"
1921,74,78,75,"bel"
1922,75,80,77,"bel"
1923,77,81,79,"bel"
1924,82,88,85,"bel"
1925,80,84,82,"bel"
1926,78,83,80,"bel"
1927,79,85,84,"bel"
1928,83,87,85,"bel"
1929,76,79,76,"bel"
1930,81,82,83,"bel"
1931,85,90,87,"bel"
1932,84,92,88,"bel"
1933,86,93,89,"bel"
1934,95,99,98,"bel"
1935,92,98,92,"bel"
1936,94,94,93,"bel"
1937,93,98,94,"bel"
1938,96,97,96,"bel"
1939,95,95,95,"bel"
1940,87,77,78,"bel"
1941,90,89,90,"bel"
1942,91,91,91,"bel"
1943,97,96,97,"bel"
1944,88,80,81,"bel"
1945,89,86,86,"bel"
1946,98,100,99,"bel"
1947,99,101,100,"bel"
1948,100,102,101,"bel"
1949,101,103,102,"bel"
1950,102,104,103,"bel"
1951,103,105,104,"bel"
1952,104,106,105,"bel"
1953,105,107,106,"bel"
1954,106,109,108,"bel"
1955,107,108,107,"bel"
1956,108,110,109,"bel"
1957,109,111,110,"bel"
1958,110,114,112,"bel"
1959,112,119,115,"bel"
1960,111,112,111,"bel"
1961,115,117,116,"bel"
1962,114,115,114,"bel"
1963,113,113,113,"bel"
1964,119,121,121,"bel"
1965,116,118,117,"bel"
1966,117,120,119,"bel"
1967,121,123,122,"bel"
1968,118,117,118,"bel"
1969,120,116,120,"bel"
1970,122,122,123,"bel"
1971,123,124,124,"bel"
1972,124,125,125,"bel"
1973,125,126,126,"bel"
1974,127,127,128,"bel"
1975,126,128,127,"bel"
1976,128,129,129,"bel"
1977,129,131,131,"bel"
1978,129,130,130,"bel"
1979,130,133,132,"bel"
1980,131,132,133,"bel"
1981,132,134,134,"bel"
1982,134,135,135,"bel"
1983,133,136,136,"bel"
1984,135,137,137,"bel"
1985,136,138,138,"bel"
1986,137,139,139,"bel"
1987,138,140,140,"bel"
1988,139,141,141,"bel"
1989,140,142,142,"bel"
1990,141,143,143,"bel"
1991,142,144,144,"bel"
1992,143,146,145,"bel"
1993,144,145,146,"bel"
1994,145,147,147,"bel"
1995,146,148,148,"bel"
1996,147,149,149,"bel"
1997,148,150,150,"bel"
1998,149,151,151,"bel"
1999,150,152,152,"bel"
2000,151,153,153,"bel"
2001,152,154,154,"bel"
2002,153,155,155,"bel"
2003,154,156,156,"bel"
2004,155,157,157,"bel"
2005,155,158,158,"bel"
2006,156,159,159,"bel"
2007,157,160,160,"bel"
2008,158,161,161,"bel"
2009,159,162,162,"bel"
2010,160,163,163,"bel"
2011,162,165,165,"bel"
2012,161,164,164,"bel"
1947,55.7,52.54,54.1,"bgr"
1948,57.24,54.4,55.8,"bgr"
1949,59.64,56.29,57.94,"bgr"
1950,63.24,59.64,61.42,"bgr"
1951,62.24,59.08,60.64,"bgr"
1952,61.14,58.15,59.63,"bgr"
1953,65.94,62.41,64.15,"bgr"
1954,66.17,62.67,64.4,"bgr"
1955,66.54,63.1,64.81,"bgr"
1956,66.96,63.5,65.21,"bgr"
1957,68.36,64.89,66.61,"bgr"
1958,70.41,67.04,68.72,"bgr"
1959,68.16,65.03,66.59,"bgr"
1960,70.94,67.47,69.19,"bgr"
1961,72.07,68.41,70.22,"bgr"
1962,71.3,67.76,69.51,"bgr"
1963,72.02,68.67,70.33,"bgr"
1964,72.96,69.37,71.14,"bgr"
1965,73.22,69.44,71.3,"bgr"
1966,73.17,69.35,71.23,"bgr"
1967,72.55,68.36,70.41,"bgr"
1968,73.33,69.23,71.24,"bgr"
1969,72.73,68.22,70.41,"bgr"
1970,73.51,69.11,71.25,"bgr"
1971,73.21,68.61,70.85,"bgr"
1972,73.2,68.66,70.87,"bgr"
1973,73.75,69.02,71.32,"bgr"
1974,73.57,68.91,71.18,"bgr"
1975,73.54,68.63,71.01,"bgr"
1976,73.87,68.97,71.35,"bgr"
1977,73.45,68.25,70.76,"bgr"
1978,73.65,68.75,71.13,"bgr"
1979,74.02,68.62,71.23,"bgr"
1980,73.9,68.44,71.07,"bgr"
1981,74.3,68.82,71.47,"bgr"
1982,73.95,68.39,71.08,"bgr"
1983,74.32,68.4,71.25,"bgr"
1984,74.47,68.43,71.34,"bgr"
1985,74.26,68.1,71.06,"bgr"
1986,74.84,68.49,71.54,"bgr"
1987,74.6,68.33,71.35,"bgr"
1988,74.75,68.31,71.41,"bgr"
1989,74.9,68.29,71.47,"bgr"
1990,74.81,68.08,71.32,"bgr"
1991,74.5,68.08,71.19,"bgr"
1992,74.79,67.85,71.19,"bgr"
1993,75.11,67.57,71.18,"bgr"
1994,74.81,67.23,70.86,"bgr"
1995,74.88,67.36,70.97,"bgr"
1996,74.59,67.35,70.84,"bgr"
1997,73.89,66.95,70.3,"bgr"
1998,74.71,67.36,70.9,"bgr"
1999,75.09,68.19,71.55,"bgr"
2000,75,68.3,71.57,"bgr"
2001,75.39,68.52,71.87,"bgr"
2002,75.58,68.83,72.13,"bgr"
2003,75.96,68.92,72.35,"bgr"
2004,76.23,69.06,72.56,"bgr"
2005,76.22,69.03,72.54,"bgr"
2006,76.26,69.23,72.66,"bgr"
2007,76.58,69.53,72.98,"bgr"
2008,76.92,69.81,73.29,"bgr"
2009,77.26,70.12,73.62,"bgr"
2010,77.25,70.31,73.72,"bgr"
1959,71.98,65.24,69.06,"blr"
1960,74.82,67.92,71.86,"blr"
1961,75.56,68.61,72.58,"blr"
1962,74.08,67.66,71.33,"blr"
1963,74.88,68.16,71.99,"blr"
1964,76.63,69.35,73.49,"blr"
1965,76.14,68.96,73.04,"blr"
1966,76.61,69.17,73.39,"blr"
1967,76.36,68.97,73.16,"blr"
1968,76.65,68.93,73.27,"blr"
1969,76.34,68.51,72.9,"blr"
1970,75.95,67.86,72.36,"blr"
1971,76.77,68.36,73.02,"blr"
1972,76.47,68.09,72.73,"blr"
1973,76.45,68.18,72.75,"blr"
1974,76.91,68.34,73.08,"blr"
1975,76.25,67.15,72.12,"blr"
1976,76.25,66.89,71.97,"blr"
1977,76.3,66.75,71.92,"blr"
1978,76.16,66.58,71.75,"blr"
1979,76.06,65.96,71.35,"blr"
1980,75.6,65.95,71.1,"blr"
1981,76.2,65.94,71.38,"blr"
1982,76.18,66.22,71.52,"blr"
1983,75.93,66.1,71.32,"blr"
1984,75.52,65.41,70.72,"blr"
1985,75.25,66.1,70.97,"blr"
1986,76.29,67.7,72.33,"blr"
1987,76.18,67.59,72.2,"blr"
1988,76.09,67.24,71.95,"blr"
1989,76.34,66.73,71.76,"blr"
1990,75.79,66.24,71.21,"blr"
1991,75.46,65.52,70.63,"blr"
1992,75.34,64.9,70.21,"blr"
1993,74.49,63.73,69.11,"blr"
1994,74.36,63.42,68.87,"blr"
1995,74.2,62.8,68.43,"blr"
1996,74.29,63.04,68.6,"blr"
1997,74.18,62.79,68.39,"blr"
1998,74.29,62.57,68.3,"blr"
1999,73.92,62.18,67.9,"blr"
2000,74.67,63.31,68.9,"blr"
2001,74.5,62.73,68.46,"blr"
2002,74.13,62.18,67.96,"blr"
2003,74.67,62.62,68.47,"blr"
2004,74.97,63.12,68.9,"blr"
2005,75.01,62.77,68.71,"blr"
2006,75.45,63.48,69.33,"blr"
2007,76.11,64.46,70.22,"blr"
2008,76.42,64.56,70.41,"blr"
2009,76.36,64.67,70.45,"blr"
2010,76.48,64.6,70.45,"blr"
2011,76.77,64.71,70.65,"blr"
2012,77.67,66.6,72.19,"blr"
1921,58.16,55.95,57.03,"can"
1922,58.14,55.89,56.99,"can"
1923,58.05,55.85,56.93,"can"
1924,59.85,57.71,58.76,"can"
1925,60.44,58.07,59.23,"can"
1926,59.12,56.77,57.92,"can"
1927,59.95,57.39,58.63,"can"
1928,59.87,57.3,58.54,"can"
1929,59.25,56.72,57.94,"can"
1930,60.31,57.62,58.91,"can"
1931,61.65,59,60.27,"can"
1932,62.53,60.25,61.35,"can"
1933,63.37,61.22,62.26,"can"
1934,64.01,61.43,62.66,"can"
1935,63.72,61.21,62.4,"can"
1936,63.8,61.62,62.65,"can"
1937,62.83,59.92,61.29,"can"
1938,64.91,61.8,63.26,"can"
1939,65.33,62.23,63.69,"can"
1940,65.7,62.44,63.96,"can"
1941,65.68,61.98,63.72,"can"
1942,66.54,62.97,64.63,"can"
1943,66.42,62.9,64.55,"can"
1944,67.03,63.75,65.28,"can"
1945,68.13,64.65,66.27,"can"
1946,68.38,64.79,66.47,"can"
1947,68.9,64.82,66.72,"can"
1948,69.44,65.38,67.27,"can"
1949,69.85,65.63,67.59,"can"
1950,70.59,66.16,68.22,"can"
1951,70.86,66.42,68.5,"can"
1952,71.4,66.34,68.69,"can"
1953,71.8,66.69,69.07,"can"
1954,72.69,67.54,69.93,"can"
1955,72.87,67.51,69.99,"can"
1956,72.83,67.52,69.99,"can"
1957,72.97,67.29,69.91,"can"
1958,73.68,67.9,70.57,"can"
1959,73.64,67.98,70.61,"can"
1960,74.16,68.23,70.98,"can"
1961,74.46,68.4,71.21,"can"
1962,74.44,68.45,71.24,"can"
1963,74.51,68.41,71.26,"can"
1964,75.08,68.63,71.64,"can"
1965,75.14,68.75,71.74,"can"
1966,75.39,68.78,71.88,"can"
1967,75.66,68.93,72.09,"can"
1968,75.79,69.1,72.24,"can"
1969,76.02,69.17,72.4,"can"
1970,76.27,69.33,72.61,"can"
1971,76.64,69.61,72.94,"can"
1972,76.55,69.48,72.83,"can"
1973,76.83,69.66,73.07,"can"
1974,76.9,69.74,73.15,"can"
1975,77.23,69.99,73.45,"can"
1976,77.67,70.38,73.87,"can"
1977,77.97,70.63,74.16,"can"
1978,78.32,70.91,74.48,"can"
1979,78.59,71.31,74.84,"can"
1980,78.72,71.6,75.06,"can"
1981,79.11,72.01,75.48,"can"
1982,79.23,72.29,75.69,"can"
1983,79.55,72.69,76.07,"can"
1984,79.77,73.01,76.36,"can"
1985,79.73,73.03,76.35,"can"
1986,79.79,73.23,76.49,"can"
1987,80.11,73.51,76.79,"can"
1988,80.19,73.57,76.86,"can"
1989,80.39,73.87,77.12,"can"
1990,80.62,74.22,77.43,"can"
1991,80.73,74.44,77.59,"can"
1992,80.98,74.69,77.85,"can"
1993,80.79,74.63,77.72,"can"
1994,80.89,74.87,77.91,"can"
1995,80.98,75.01,78.02,"can"
1996,81.11,75.39,78.28,"can"
1997,81.22,75.67,78.49,"can"
1998,81.39,75.93,78.7,"can"
1999,81.6,76.15,78.92,"can"
2000,81.81,76.63,79.28,"can"
2001,81.99,76.91,79.51,"can"
2002,82.01,77.14,79.63,"can"
2003,82.22,77.3,79.82,"can"
2004,82.45,77.68,80.13,"can"
2005,82.54,77.84,80.24,"can"
2006,82.93,78.3,80.68,"can"
2007,82.94,78.35,80.7,"can"
2008,83.09,78.59,80.9,"can"
2009,83.39,79,81.25,"can"
1876,41.81,38.38,40.05,"che"
1877,41.52,38.51,39.98,"che"
1878,41.77,39.17,40.45,"che"
1879,43.39,40.26,41.8,"che"
1880,43.94,40.87,42.38,"che"
1881,43.17,40.58,41.85,"che"
1882,44.37,41.62,42.98,"che"
1883,46,43.94,44.95,"che"
1884,46.31,43.81,45.04,"che"
1885,45.1,42.65,43.86,"che"
1886,45.87,43.51,44.68,"che"
1887,46.72,44.13,45.42,"che"
1888,47.3,44.63,45.95,"che"
1889,46.23,44.04,45.13,"che"
1890,46.32,43.6,44.95,"che"
1891,46.13,43.32,44.71,"che"
1892,48.62,45.83,47.21,"che"
1893,47.33,44.79,46.05,"che"
1894,47.01,44.57,45.78,"che"
1895,48.34,45.39,46.85,"che"
1896,50.43,47.34,48.87,"che"
1897,50.52,47.69,49.1,"che"
1898,49.81,46.59,48.19,"che"
1899,51.05,47.56,49.29,"che"
1900,48.84,46.14,47.48,"che"
1901,50.59,47.32,48.94,"che"
1902,51.76,49.08,50.42,"che"
1903,51.29,48.8,50.05,"che"
1904,50.39,47.93,49.16,"che"
1905,51.1,48.23,49.66,"che"
1906,52.18,49.26,50.71,"che"
1907,52.71,49.62,51.15,"che"
1908,53.87,50.67,52.26,"che"
1909,53.11,50.12,51.61,"che"
1910,54.64,51.23,52.93,"che"
1911,53.37,50.11,51.73,"che"
1912,56.1,52.72,54.41,"che"
1913,55.94,52.47,54.19,"che"
1914,56.76,53.44,55.09,"che"
1915,57.5,54.3,55.9,"che"
1916,58.12,54.96,56.54,"che"
1917,57.43,54.1,55.76,"che"
1918,48.98,43.79,46.33,"che"
1919,55.99,53.83,54.92,"che"
1920,55.63,53.02,54.33,"che"
1921,59.48,56.13,57.8,"che"
1922,59.66,57.25,58.47,"che"
1923,61.75,58.24,60,"che"
1924,61.02,57.89,59.47,"che"
1925,61.41,58.4,59.92,"che"
1926,62.15,59.02,60.6,"che"
1927,61.57,58.55,60.07,"che"
1928,62.2,58.66,60.44,"che"
1929,62.06,58.22,60.15,"che"
1930,63.49,59.31,61.41,"che"
1931,63.01,59.39,61.22,"che"
1932,63.02,59.34,61.2,"che"
1933,64.22,60.49,62.38,"che"
1934,64.92,60.75,62.85,"che"
1935,63.95,60.21,62.1,"che"
1936,65.26,61,63.15,"che"
1937,65.42,61.5,63.49,"che"
1938,65.63,61.96,63.82,"che"
1939,66.05,61.86,63.98,"che"
1940,65.68,61.36,63.54,"che"
1941,67.03,62.8,64.95,"che"
1942,67.75,63.41,65.62,"che"
1943,68,63.54,65.8,"che"
1944,67.04,62.59,64.84,"che"
1945,67.38,63.31,65.37,"che"
1946,67.77,64.24,66.04,"che"
1947,68.34,64.07,66.23,"che"
1948,69.42,65.13,67.31,"che"
1949,70.04,65.77,67.94,"che"
1950,71.09,66.65,68.91,"che"
1951,70.97,66.34,68.69,"che"
1952,71.85,67.24,69.59,"che"
1953,71.88,67.05,69.5,"che"
1954,72.3,67.58,69.98,"che"
1955,72.34,67.69,70.06,"che"
1956,72.64,67.67,70.19,"che"
1957,73.17,67.84,70.54,"che"
1958,73.94,68.55,71.29,"che"
1959,74.1,68.71,71.44,"che"
1960,74.11,68.65,71.41,"che"
1961,74.58,68.84,71.74,"che"
1962,74.09,68.44,71.3,"che"
1963,74.23,68.29,71.28,"che"
1964,75.11,69.19,72.18,"che"
1965,75.07,69.47,72.31,"che"
1966,75.25,69.56,72.44,"che"
1967,75.72,69.69,72.74,"che"
1968,75.53,69.8,72.7,"che"
1969,75.65,69.71,72.71,"che"
1970,76.16,70.03,73.12,"che"
1971,76.25,70.16,73.23,"che"
1972,76.82,70.62,73.75,"che"
1973,77.05,70.98,74.06,"che"
1974,77.55,71.17,74.4,"che"
1975,78,71.49,74.78,"che"
1976,78.14,71.6,74.91,"che"
1977,78.67,71.96,75.36,"che"
1978,78.65,71.88,75.3,"che"
1979,78.78,72.31,75.6,"che"
1980,78.85,72.23,75.58,"che"
1981,79.13,72.42,75.81,"che"
1982,79.43,72.78,76.16,"che"
1983,79.55,72.68,76.15,"che"
1984,80.03,73.35,76.75,"che"
1985,80.15,73.48,76.87,"che"
1986,80.3,73.66,77.03,"che"
1987,80.66,73.9,77.34,"che"
1988,80.72,73.88,77.36,"che"
1989,80.93,74.07,77.56,"che"
1990,80.71,73.94,77.37,"che"
1991,81.09,74.1,77.64,"che"
1992,81.32,74.44,77.94,"che"
1993,81.41,74.89,78.23,"che"
1994,81.7,75.14,78.5,"che"
1995,81.68,75.29,78.56,"che"
1996,81.98,75.93,79.05,"che"
1997,82.02,76.24,79.23,"che"
1998,82.46,76.3,79.47,"che"
1999,82.49,76.77,79.73,"che"
2000,82.56,76.92,79.83,"che"
2001,82.96,77.36,80.26,"che"
2002,82.95,77.72,80.44,"che"
2003,82.99,77.9,80.54,"che"
2004,83.51,78.46,81.09,"che"
2005,83.7,78.59,81.25,"che"
2006,83.84,79.01,81.53,"che"
2007,83.97,79.26,81.71,"che"
2008,84.19,79.59,81.99,"che"
2009,84.2,79.63,82,"che"
2010,84.39,80.05,82.31,"che"
2011,84.68,80.28,82.57,"che"
1992,77.47,71.45,74.49,"chl"
1993,77.65,71.42,74.56,"chl"
1994,78.18,71.82,75.02,"chl"
1995,78.21,71.64,74.93,"chl"
1996,78.58,71.87,75.23,"chl"
1997,79.04,72.53,75.8,"chl"
1998,79.01,72.77,75.91,"chl"
1999,79.12,73.01,76.09,"chl"
2000,79.87,73.7,76.82,"chl"
2001,79.75,73.55,76.67,"chl"
2002,80.33,74.05,77.22,"chl"
2003,80.39,74.22,77.34,"chl"
2004,80.43,74.37,77.44,"chl"
2005,80.74,74.8,77.81,"chl"
2006,81.04,75.27,78.21,"chl"
2007,80.54,74.76,77.69,"chl"
2008,81.13,75.33,78.27,"chl"
1950,66.85,61.97,64.42,"cze"
1951,67.72,62.75,65.25,"cze"
1952,69.25,64.42,66.86,"cze"
1953,69.92,65.13,67.56,"cze"
1954,70.57,65.48,68.06,"cze"
1955,71.55,66.32,68.97,"cze"
1956,71.97,66.7,69.37,"cze"
1957,71.69,66.31,69.04,"cze"
1958,72.6,67.19,69.94,"cze"
1959,72.71,67.06,69.92,"cze"
1960,73.34,67.49,70.46,"cze"
1961,73.55,67.62,70.63,"cze"
1962,72.86,66.86,69.89,"cze"
1963,73.48,67.27,70.41,"cze"
1964,73.63,67.44,70.57,"cze"
1965,73.38,67.08,70.26,"cze"
1966,73.74,67.17,70.47,"cze"
1967,73.66,67.03,70.35,"cze"
1968,73.38,66.46,69.91,"cze"
1969,73.06,65.84,69.41,"cze"
1970,73,66.04,69.5,"cze"
1971,73.37,66.15,69.73,"cze"
1972,73.68,66.83,70.25,"cze"
1973,73.69,66.53,70.09,"cze"
1974,73.58,66.75,70.16,"cze"
1975,74,67,70.49,"cze"
1976,74.19,67.04,70.61,"cze"
1977,74.2,67.11,70.65,"cze"
1978,74.26,67.19,70.72,"cze"
1979,74.34,67.32,70.82,"cze"
1980,73.93,66.81,70.34,"cze"
1981,74.4,67.21,70.79,"cze"
1982,74.47,67.32,70.88,"cze"
1983,74.31,67.05,70.64,"cze"
1984,74.5,67.34,70.9,"cze"
1985,74.77,67.5,71.11,"cze"
1986,74.68,67.49,71.06,"cze"
1987,75.2,67.86,71.51,"cze"
1988,75.36,68.11,71.72,"cze"
1989,75.43,68.12,71.76,"cze"
1990,75.41,67.54,71.42,"cze"
1991,75.74,68.22,71.96,"cze"
1992,76.19,68.53,72.34,"cze"
1993,76.43,69.25,72.85,"cze"
1994,76.65,69.49,73.08,"cze"
1995,76.66,69.67,73.19,"cze"
1996,77.32,70.31,73.84,"cze"
1997,77.43,70.43,73.95,"cze"
1998,77.99,71.05,74.56,"cze"
1999,78.08,71.33,74.74,"cze"
2000,78.33,71.55,74.98,"cze"
2001,78.51,72.02,75.32,"cze"
2002,78.71,72.1,75.44,"cze"
2003,78.65,72.08,75.4,"cze"
2004,79.21,72.61,75.94,"cze"
2005,79.28,72.95,76.15,"cze"
2006,79.85,73.47,76.71,"cze"
2007,80.07,73.69,76.92,"cze"
2008,80.3,73.96,77.17,"cze"
2009,80.29,74.16,77.26,"cze"
2010,80.64,74.43,77.56,"cze"
2011,80.86,74.71,77.81,"cze"
1956,70.88,66.39,68.78,"deute"
1957,70.52,65.84,68.33,"deute"
1958,70.96,66.49,68.88,"deute"
1959,70.89,66.28,68.75,"deute"
1960,71.31,66.48,69.07,"deute"
1961,72.16,67.27,69.89,"deute"
1962,72.02,67.28,69.82,"deute"
1963,72.6,67.77,70.37,"deute"
1964,72.79,67.87,70.52,"deute"
1965,72.94,67.97,70.65,"deute"
1966,73.28,68.35,71.02,"deute"
1967,73.5,68.44,71.18,"deute"
